Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_3	cds	106855	107079	+	DALOPK_02510		ABC transporter substrate-binding protein	SO:0001217, UniRef:UniRef50_A0A377YU09
contig_3	cds	107160	107480	+	DALOPK_02515		Type II toxin-antitoxin system RelE/ParE family toxin	SO:0001217, UniRef:UniRef50_A0A7I6U733
contig_3	cds	107470	107748	+	DALOPK_02520		HTH cro/C1-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0C7AUS1
contig_3	cds	107749	108162	+	DALOPK_02525		Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_G9G282
contig_3	cds	108880	109260	+	DALOPK_02530		hypothetical protein	
contig_3	cds	109327	109674	+	DALOPK_02535		DUF559 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7U4T8H9
contig_3	cds	109769	109915	+	DALOPK_02540		Succinate dehydrogenase flavoprotein subunit	SO:0001217, UniRef:UniRef50_J6IMA8
contig_3	cds	109966	110799	+	DALOPK_02545		N6-Mtase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0C7AUH5
contig_3	cds	110626	111006	-	DALOPK_02550		Single-stranded DNA-binding protein	SO:0001217, UniRef:UniRef50_A0A078K4K2
contig_3	cds	111616	112437	+	DALOPK_02555		DUF945 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1E4GNX1
contig_3	cds	112437	112799	+	DALOPK_02560		FYR N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0E1CN52
contig_3	cds	112832	113317	-	DALOPK_02565		SLT domain-containing protein	SO:0001217, UniRef:UniRef50_A0A4V7SNL5
contig_3	cds	113741	114124	+	DALOPK_02570	traM	Relaxosome protein TraM	SO:0001217, UniRef:UniRef50_A0A2P9E0A8
contig_3	ncRNA	114253	114330	-	DALOPK_02575	finP	FinP	RFAM:RF00107, SO:0000655
contig_3	cds	114324	115040	+	DALOPK_02580	traJ	Conjugal transfer transcriptional regulator TraJ	SO:0001217, UniRef:UniRef50_A0A2S1FVE4
contig_3	cds	115444	115812	+	DALOPK_02585		Pilin	SO:0001217, UniRef:UniRef50_P04737
contig_3	cds	115826	116131	+	DALOPK_02590	traL	Protein TraL	SO:0001217, UniRef:UniRef50_A0A2A7U827
contig_3	cds	116151	116717	+	DALOPK_02595	traE	Protein TraE	SO:0001217, UniRef:UniRef50_P08322
contig_3	cds	116704	117444	+	DALOPK_02600	traK	TraK protein	SO:0001217, UniRef:UniRef50_A0A8H9E1S4
contig_3	cds	117444	118868	+	DALOPK_02605	traB	Conjugal transfer protein TraB	SO:0001217, UniRef:UniRef50_A0A7M1HZG2
contig_3	cds	118861	119457	+	DALOPK_02610	traP	Conjugal transfer protein TraP	SO:0001217, UniRef:UniRef50_A0A8A6WLW4
contig_3	cds	119492	120064	+	DALOPK_02615	traV	TraV protein	SO:0001217, UniRef:UniRef50_Q65AH6
contig_3	cds	120957	121175	+	DALOPK_02620		hypothetical protein	
contig_3	cds	121176	121493	+	DALOPK_02625		Group-specific protein	SO:0001217, UniRef:UniRef50_U9YTM4
contig_3	cds	121560	121964	+	DALOPK_02630		Inner membrane protein	SO:0001217, UniRef:UniRef50_A0A0E1CMP8
contig_3	cds	122007	122306	+	DALOPK_02635	hdeA	Acid stress chaperone HdeA	SO:0001217, UniRef:UniRef50_W1EDG8
contig_3	cds	122323	122712	+	DALOPK_02640		Transmembrane protein	SO:0001217, UniRef:UniRef50_G9G2K2
contig_3	cds	122784	125423	+	DALOPK_02645	traC	Conjugal transfer ATP-binding protein TraC	SO:0001217, UniRef:UniRef50_A0A483G4M3
contig_3	cds	125423	125812	+	DALOPK_02650	trbI	Type-F conjugative transfer system protein TrbI	SO:0001217, UniRef:UniRef50_A0A660G2X5
contig_3	cds	125812	126438	+	DALOPK_02655	traW	TraW protein	SO:0001217, UniRef:UniRef50_Q65AH1
contig_3	cds	126480	126869	+	DALOPK_02660		DUF4381 domain-containing protein	SO:0001217, UniRef:UniRef50_D4HQL1
contig_3	cds	126866	127855	+	DALOPK_02665	traU	Conjugal transfer pilus assembly protein TraU	SO:0001217, UniRef:UniRef50_A0A377XBC4
contig_3	cds	127868	128506	+	DALOPK_02670	trbC	Type-F conjugative transfer system pilin assembly protein TrbC	SO:0001217, UniRef:UniRef50_A0A328TUH1
contig_3	cds	128565	130520	+	DALOPK_02675	traN	Type-F conjugative transfer system mating-pair stabilization protein TraN	SO:0001217, UniRef:UniRef50_A0A483K5L9
contig_3	cds	130552	130788	+	DALOPK_02680	trbE	Conjugal transfer protein TrbE	SO:0001217, UniRef:UniRef50_A0A7H4N3R5
contig_3	cds	130785	130970	+	DALOPK_02685		Succinate dehydrogenase	SO:0001217, UniRef:UniRef50_A0A483I570
contig_3	cds	131016	131342	+	DALOPK_02690		DUF2500 domain-containing protein	SO:0001217, UniRef:UniRef50_G9G2J2
contig_3	cds	131363	132115	+	DALOPK_02695	traF	Type-F conjugative transfer system pilin assembly protein TraF	SO:0001217, UniRef:UniRef50_A0A7S9DQZ0
contig_3	cds	132126	132365	+	DALOPK_02700	traQ	Conjugal transfer pilin chaperone TraQ	SO:0001217, UniRef:UniRef50_A0A485D2U1
contig_3	cds	132337	132894	+	DALOPK_02705	trbB	Type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB	SO:0001217, UniRef:UniRef50_A0A1Q6ASH6
contig_3	cds	132940	133383	+	DALOPK_02710	trbF	Conjugal transfer protein TrbF	SO:0001217, UniRef:UniRef50_A0A7D5FZA7
contig_3	cds	133373	134740	+	DALOPK_02715	traH	Conjugal transfer protein TraH	SO:0001217, UniRef:UniRef50_A0A062WMG0
contig_3	cds	134740	137589	+	DALOPK_02720		TraG-N domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7M1I3R1
contig_3	ncRNA	135459	135544	-	DALOPK_02725	AS-traG	Antisense to traG	RFAM:RF02874, SO:0000644
contig_3	cds	137586	138122	+	DALOPK_02730	traS	Conjugal transfer entry exclusion protein TraS	SO:0001217, UniRef:UniRef50_A0A7D3P619
contig_3	cds	138311	139042	+	DALOPK_02735	traT	TraT complement resistance protein	SO:0001217, UniRef:UniRef50_P13979
contig_3	cds	139233	139355	+	DALOPK_02740		hypothetical protein	
contig_3	cds	139402	141684	+	DALOPK_02745	traD	Conjugal transfer protein TraD	SO:0001217, UniRef:UniRef50_A0A331MFF0
contig_3	cds	141684	146942	+	DALOPK_02750	traI	OriT nicking and unwinding protein TraI (DNA helicase I)	SO:0001217, UniRef:UniRef50_A0A2P9E096
contig_3	cds	147023	147748	+	DALOPK_02755	traX	Type-F conjugative transfer system pilin acetylase TraX	SO:0001217, UniRef:UniRef50_A0A2X1QG02
contig_3	cds	147820	148413	+	DALOPK_02760		Fertility inhibition protein	SO:0001217, UniRef:UniRef50_A0A3P2IM00
contig_3	cds	148580	149176	+	DALOPK_02765		PIN7 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0C7AUF4
contig_3	cds	149226	149447	+	DALOPK_02770		Inner membrane protein	SO:0001217, UniRef:UniRef50_A0A2W7TCE6
contig_3	cds	149503	150153	+	DALOPK_02775		DUF2726 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2Z2GWV6
contig_3	cds	150150	150458	+	DALOPK_02780		Prophage protein	SO:0001217, UniRef:UniRef50_W7NMJ6
contig_3	cds	150553	151113	+	DALOPK_02785		Phospholipase D	SO:0001217, UniRef:UniRef50_A0A663BIQ2
contig_3	cds	151249	151518	+	DALOPK_02790	copB	Protein CopB	SO:0001217, UniRef:UniRef50_A0A2S1JDS7
contig_3	ncRNA	151624	151712	-	DALOPK_02795	copA	CopA-like RNA	RFAM:RF00042, SO:0000655
contig_4	cds	1	1014	+	DALOPK_02800		Replication initiation protein	SO:0001217, UniRef:UniRef50_P13961
contig_4	cds	1338	1637	-	DALOPK_02805		hypothetical protein	
contig_4	cds	2088	2942	+	DALOPK_02810		hypothetical protein	
contig_4	cds	3169	4236	-	DALOPK_02815		hypothetical protein	PFAM:PF00672.28
contig_4	cds	4229	7234	-	DALOPK_02820		Tn3-like element Tn3 family transposase	BlastRules:WP_032495017, SO:0001217, UniRef:UniRef50_P03008
contig_4	cds	7396	7953	+	DALOPK_02825		Transposon Tn1331 resolvase	SO:0001217, UniRef:UniRef50_P21424
contig_4	cds	8136	8741	+	DALOPK_02830	aac(6')-Ib	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	NCBIProtein:WP_063840280.1, SO:0001217, UniRef:UniRef50_P19650
contig_4	cds	8823	9080	+	DALOPK_02835		hypothetical protein	PFAM:PF18765.4
contig_4	cds	9092	9421	+	DALOPK_02840		DDE-Tnp-IS240 domain-containing protein	SO:0001217, UniRef:UniRef50_C0WI98
contig_4	cds	9465	9773	+	DALOPK_02845		DDE-Tnp-IS240 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A365CWC7
contig_4	cds	10113	10247	-	DALOPK_02850		hypothetical protein	
contig_4	cds	11010	11876	+	DALOPK_02855		Uncharacterized protein	SO:0001217, UniRef:UniRef50_P18351
contig_4	cds	12449	13654	+	DALOPK_02860		Plasmid partition protein A	SO:0001217, UniRef:UniRef50_P07620
contig_4	cds	13654	14628	+	DALOPK_02865		Plasmid Partition par B protein	SO:0001217, UniRef:UniRef50_P07621
contig_4	cds	14710	15981	-	DALOPK_02870	umuC	Protein UmuC	SO:0001217, UniRef:UniRef50_P04152
contig_4	cds	15981	16412	-	DALOPK_02875	samA	Protein SamA	SO:0001217, UniRef:UniRef50_A0A379XIG3
contig_4	cds	16818	18305	+	DALOPK_02880		Retron-type reverse transcriptase	SO:0001217, UniRef:UniRef50_A0A2X1Q015
contig_4	cds	18457	18732	+	DALOPK_02885	tnp	IS1 family IS1X3 transposase ORF A	IS:IS1X3, SO:0001217, UniRef:UniRef50_A0A2I8SHZ5
contig_4	cds	18777	19154	+	DALOPK_02890		Transposase	SO:0001217, UniRef:UniRef50_A0A6N3QHQ2
contig_4	cds	19515	19805	-	DALOPK_02895		hypothetical protein	
contig_4	cds	20320	21288	+	DALOPK_02900		IS5 family transposase	SO:0001217, UniRef:UniRef50_A0A7T5UB26
contig_4	cds	21330	21419	-	DALOPK_02905		hypothetical protein	
contig_4	cds	21428	21814	-	DALOPK_02910	stbA	StbA	SO:0001217, UniRef:UniRef50_A0A1V2G4P2
contig_4	cds	22361	22777	+	DALOPK_02915	traK	TraK protein	SO:0001217, UniRef:UniRef50_A0A485C5B5
contig_4	cds	22779	24308	+	DALOPK_02920		type IV secretion system DNA-binding domain-containing protein	SO:0001217, UniRef:UniRef50_UPI001F38762F
contig_4	cds	24308	27550	+	DALOPK_02925		ATP-dependent RecD-like DNA helicase	SO:0001217, UniRef:UniRef50_A0A6G8F840
contig_4	cds	27550	27723	+	DALOPK_02930		hypothetical protein	
contig_4	cds	27873	28571	+	DALOPK_02935		hypothetical protein	
contig_4	cds	28603	29802	-	DALOPK_02940	tet(A)	tetracycline efflux MFS transporter Tet(A)	NCBIProtein:WP_012579085.1, SO:0001217, UniRef:UniRef50_A0A3Q8VRE3
contig_4	cds	29881	30558	+	DALOPK_02945	tetR(A)	tetracycline resistance transcriptional repressor TetR(A)	BlastRules:WP_000164043, SO:0001217, UniRef:UniRef50_P03038
contig_4	cds	30590	30832	-	DALOPK_02950		Relaxase	SO:0001217, UniRef:UniRef50_A0A2P9EC95
contig_4	cds	31101	31595	+	DALOPK_02955		Delta-FipA	SO:0001217, UniRef:UniRef50_L0R2L2
contig_4	cds	31769	32302	-	DALOPK_02960		Endonuclease	SO:0001217, UniRef:UniRef50_A0A198GLY4
contig_4	cds	32302	33297	-	DALOPK_02965		Type IV secretion system protein	SO:0001217, UniRef:UniRef50_A0A8G9M874
contig_4	cds	33339	34499	-	DALOPK_02970	traF	TraF protein	SO:0001217, UniRef:UniRef50_Q46705
contig_4	cds	34499	35383	-	DALOPK_02975	traO	TraO protein	SO:0001217, UniRef:UniRef50_Q46704
contig_4	cds	35394	36092	-	DALOPK_02980	traE	TraE protein	SO:0001217, UniRef:UniRef50_Q46703
contig_4	cds	36311	37351	-	DALOPK_02985	traD	Conjugal transfer protein TraD	SO:0001217, UniRef:UniRef50_G1CCV4
contig_4	cds	37367	37594	-	DALOPK_02990	eexN	IncN-type entry exclusion lipoprotein EexN	BlastRules:WP_000734973, SO:0001217, UniRef:UniRef50_E2EAP1
contig_4	cds	37602	38315	-	DALOPK_02995	traC	TraC	SO:0001217, UniRef:UniRef50_G1CCV6
contig_4	cds	38333	40933	-	DALOPK_03000	traB	Conjugal transfer protein TraB	SO:0001217, UniRef:UniRef50_Q0ZKR5
contig_4	cds	40933	41250	-	DALOPK_03005	traA	Conjugal transfer protein TraA	SO:0001217, UniRef:UniRef50_G1CCV8
contig_4	cds	41300	41593	-	DALOPK_03010	traM	Conjugal transfer protein TraM	SO:0001217, UniRef:UniRef50_Q46696
contig_4	cds	41603	41884	-	DALOPK_03015		Transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A6C7H3D7
contig_4	cds	41893	42627	-	DALOPK_03020		Conjugal transfer protein	SO:0001217, UniRef:UniRef50_F6IB97
contig_4	cds	42736	43041	+	DALOPK_03025		hypothetical protein	
contig_4	cds	43057	43401	+	DALOPK_03030		CDP-alcohol phosphatidyltransferase family protein	SO:0001217, UniRef:UniRef50_A0A2Z5VJK5
contig_4	cds	43398	43712	+	DALOPK_03035		Conjugal transfer protein	SO:0001217, UniRef:UniRef50_A0A379D0F1
contig_4	cds	43748	44059	+	DALOPK_03040		hypothetical protein	
contig_4	cds	44115	44756	+	DALOPK_03045		Restriction endonuclease	SO:0001217, UniRef:UniRef50_A0A2S1BJ74
contig_4	cds	44761	44967	+	DALOPK_03050		DNA-binding protein	SO:0001217, UniRef:UniRef50_F6IBA3
contig_4	cds	44978	45244	-	DALOPK_03055		Zn-Tnp-IS1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A348DMF8
contig_4	cds	45349	46782	+	DALOPK_03060		Type II methyltransferase M-EcoRII	SO:0001217, UniRef:UniRef50_P05101
contig_4	cds	46816	48030	-	DALOPK_03065		type II site-specific deoxyribonuclease	BlastRules:WP_143212653, SO:0001217, UniRef:UniRef50_P14633
contig_4	cds	48291	49055	-	DALOPK_03070		IS6-like element IS6100 family transposase	BlastRules:WP_001389365, SO:0001217, UniRef:UniRef50_A0A5P9CVE5
contig_4	cds	49442	49579	+	DALOPK_03075		hypothetical protein	
contig_4	cds	49562	50062	-	DALOPK_03080		N-acetyltransferase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A899NBB6
contig_4	cds	50190	51029	-	DALOPK_03085	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	NCBIProtein:WP_000259031.1, SO:0001217, UniRef:UniRef50_A0A3M1L060
contig_4	cds	51134	51424	+	DALOPK_03090		hypothetical protein	PFAM:PF02954.22
contig_4	cds	51520	52164	+	DALOPK_03095	qnrB2	quinolone resistance pentapeptide repeat protein QnrB2	NCBIProtein:WP_012695489.1, SO:0001217, UniRef:UniRef50_A0A2C6DQ40
contig_4	cds	52206	52658	-	DALOPK_03100		Signal peptide protein	SO:0001217, UniRef:UniRef50_A0A071M1M7
contig_4	cds	53193	53843	+	DALOPK_03105		Dipeptide-binding protein	SO:0001217, UniRef:UniRef50_A0A4U9HZD2
contig_4	cds	53965	55506	-	DALOPK_03110		IS91 family transposase	SO:0001217, UniRef:UniRef50_A0A349X582
contig_4	cds	55911	56750	-	DALOPK_03115	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	NCBIProtein:WP_000259031.1, SO:0001217, UniRef:UniRef50_A0A3M1L060
contig_4	cds	56744	57091	-	DALOPK_03120	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NCBIProtein:WP_000679427.1, SO:0001217, UniRef:UniRef50_A0A2Z3XFM5
contig_4	cds	57275	57748	-	DALOPK_03125	dfrA25	trimethoprim-resistant dihydrofolate reductase DfrA25	NCBIProtein:WP_029391998.1, SO:0001217, UniRef:UniRef50_Q934B2
contig_4	ncRNA-region	57746	57814	-			putative aminoglycoside riboswitch / attI site	RFAM:RF02912, SO:0000035
contig_4	cds	57904	58917	+	DALOPK_03130	intI1	class 1 integron integrase IntI1	BlastRules:WP_000845054, SO:0001217, UniRef:UniRef50_A0A257FG49
contig_4	cds	59310	59789	+	DALOPK_03135		Resolvase/invertase-type recombinase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6C7H1M7
contig_4	cds	60413	61732	+	DALOPK_03140	tnp	IS1182 family ISKpn6 transposase	IS:ISKpn6, SO:0001217, UniRef:UniRef50_A0A2Z2P096
contig_4	cds	61982	62863	-	DALOPK_03145	blaKPC-2	carbapenem-hydrolyzing class A beta-lactamase KPC-2	NCBIProtein:WP_004199234.1, SO:0001217, UniRef:UniRef50_Q848S6
contig_4	cds	62915	63154	-	DALOPK_03150		hypothetical protein	
contig_4	cds	63151	63930	-	DALOPK_03155	istB	IS21-like element ISKpn7 family helper ATPase IstB	BlastRules:WP_004152394, SO:0001217, UniRef:UniRef50_A0A1Y0FGF8
contig_4	cds	63927	64952	-	DALOPK_03160	tnp	IS21 family ISKpn7 transposase	IS:ISKpn7, SO:0001217, UniRef:UniRef50_A0A1Y0FKH1
contig_4	cds	65059	68088	-	DALOPK_03165	tnpA	Tn3-like element Tn4401 family transposase	BlastRules:WP_004152392, SO:0001217, UniRef:UniRef50_A0A376VVM6
contig_4	cds	68198	69913	+	DALOPK_03170	tnpR	Tn3-like element Tn4401 family resolvase TnpR	BlastRules:WP_004152391, SO:0001217, UniRef:UniRef50_A0A063BFN6
contig_4	cds	70208	70363	+	DALOPK_03175		Transposase	SO:0001217, UniRef:UniRef50_H6X424
contig_4	cds	70412	71404	+	DALOPK_03180		Nucleotidyl transferase AbiEii/AbiGii toxin family protein	SO:0001217, UniRef:UniRef50_A0A0H3FIW9
contig_4	cds	71926	72408	-	DALOPK_03185	blaTEM	TEM family class A beta-lactamase	NCBIProtein:WP_000027057.1
contig_4	cds	72520	73224	-	DALOPK_03190	tnp	IS6 family IS15DIV transposase	IS:IS15DIV, SO:0001217, UniRef:UniRef50_Q573Q1
contig_4	cds	73271	74539	-	DALOPK_03195		Integrase catalytic region	SO:0001217, UniRef:UniRef50_C5TC55
contig_4	cds	74614	75321	-	DALOPK_03200		hypothetical protein	PFAM:PF00563.23
contig_4	cds	75318	75554	-	DALOPK_03205	merE	broad-spectrum mercury transporter MerE	NCBIFam:NF010310.2, SO:0001217, UniRef:UniRef50_Q935L2
contig_4	cds	75551	75913	-	DALOPK_03210	merD	mercury resistance co-regulator MerD	NCBIFam:NF033783.1, SO:0001217, UniRef:UniRef50_A0A2R3IL41
contig_4	cds	75931	77625	-	DALOPK_03215	merA	mercury(II) reductase	NCBIFam:TIGR02053.1, SO:0001217, UniRef:UniRef50_P00392
contig_4	cds	77677	78099	-	DALOPK_03220	merC	organomercurial transporter MerC	NCBIProtein:AAC33908.1, SO:0001217, UniRef:UniRef50_A0A0A1H6J0
contig_4	cds	78261	78638	-	DALOPK_03225		Transposase	SO:0001217, UniRef:UniRef50_A0A6N3QHQ2
contig_4	cds	78683	78958	-	DALOPK_03230	tnp	IS1 family ISKpn14 transposase ORF A	IS:ISKpn14, SO:0001217, UniRef:UniRef50_A0A2I8SHZ5
contig_4	cds	78992	79702	-	DALOPK_03235	recF	DNA replication and repair protein RecF	SO:0001217, UniRef:UniRef50_A0A6G7ICR3
contig_4	cds	79776	80177	-	DALOPK_03240	vapC	Ribonuclease VapC	SO:0001217, UniRef:UniRef50_A0A833V3M6
contig_4	cds	80189	80419	-	DALOPK_03245		AbrB/MazE/SpoVT family DNA-binding domain-containing protein	SO:0001217, UniRef:UniRef50_Q0H049
contig_4	cds	81007	81225	+	DALOPK_03250		hypothetical protein	PFAM:PF07362.15
contig_4	cds	81227	81532	+	DALOPK_03255	ccdB	Toxin CcdB	SO:0001217, UniRef:UniRef50_A0A0J5FXM9
contig_4	cds	81578	82723	+	DALOPK_03260		N-acetyltransferase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1G4DF59
contig_4	cds	82718	82861	-	DALOPK_03265		hypothetical protein	
contig_4	cds	82921	83715	+	DALOPK_03270	resD	Resolvase ResD	SO:0001217, UniRef:UniRef50_A0A2P9E5F7
contig_4	cds	83802	83999	-	DALOPK_03275		hypothetical protein	
contig_4	cds	84171	84473	-	DALOPK_03280		Par-like protein	SO:0001217, UniRef:UniRef50_S1PMW8
contig_4	cds	84470	85096	-	DALOPK_03285	parA	ParA family plasmid-partitioning AAA ATPase	BlastRules:WP_010260829, SO:0001217, UniRef:UniRef50_A0A1T4UUQ7
contig_4	cds	85729	86604	-	DALOPK_03290	repB	RepB family plasmid replication initiator protein	SO:0001217, UniRef:UniRef50_A0A1I3SCP3
contig_4	cds	87016	88287	-	DALOPK_03295	umuC	Protein UmuC	SO:0001217, UniRef:UniRef50_P04152
contig_4	cds	88287	88718	-	DALOPK_03300	samA	Protein SamA	SO:0001217, UniRef:UniRef50_A0A379XIG3
contig_4	cds	88953	89924	+	DALOPK_03305	stbA	StbA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7I7AGK1
contig_4	cds	89927	90598	+	DALOPK_03310		Mediator of plasmid stability	SO:0001217, UniRef:UniRef50_A0A3G4RIK5
contig_4	cds	90661	90891	+	DALOPK_03315		DUF2892 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1Q8YLE1
contig_4	cds	91328	92029	+	DALOPK_03320	yubD	Putative methylase YubD	SO:0001217, UniRef:UniRef50_Q9S4X2
contig_4	cds	92029	92250	+	DALOPK_03325		Cytoplasmic protein	SO:0001217, UniRef:UniRef50_A0A093DB27
contig_4	cds	92260	92679	+	DALOPK_03330		DUF1380 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2X3IUI6
contig_4	cds	92733	93500	+	DALOPK_03335		Inner membrane protein	SO:0001217, UniRef:UniRef50_F1C5P6
contig_4	cds	94133	94561	+	DALOPK_03340		Antirestriction protein	SO:0001217, UniRef:UniRef50_A0A069FPX5
contig_4	cds	94604	95110	+	DALOPK_03345	ardA	Antirestriction protein ArdA	SO:0001217, UniRef:UniRef50_A0A663AP84
contig_4	cds	95153	95344	+	DALOPK_03350		Plasmid protein	SO:0001217, UniRef:UniRef50_Q1A2M1
contig_4	cds	95532	95786	+	DALOPK_03355		DNA polymerase III subunit theta	SO:0001217, UniRef:UniRef50_W9BAL1
contig_4	cds	95821	96138	+	DALOPK_03360		Transporter	SO:0001217, UniRef:UniRef50_A0A7H4N997
contig_4	cds	96933	97475	+	DALOPK_03365		Single-stranded DNA-binding protein	SO:0001217, UniRef:UniRef50_A0A4V3UXC0
contig_4	cds	97524	97772	+	DALOPK_03370		DUF905 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2N0VUA9
contig_4	cds	97842	99899	+	DALOPK_03375		ParB/RepB/Spo0J family partition protein	SO:0001217, UniRef:UniRef50_A0A0H2W0J9
contig_4	cds	99944	100375	+	DALOPK_03380	psiB	Protein PsiB	SO:0001217, UniRef:UniRef50_P10032
contig_4	cds	100372	101100	+	DALOPK_03385		Plasmid SOS inhibition protein A	SO:0001217, UniRef:UniRef50_A0A0J1M3S7
contig_4	cds	101097	101423	+	DALOPK_03390		Theronine dehydrogenase	SO:0001217, UniRef:UniRef50_A0A0C7AUG8
contig_4	cds	101479	101853	+	DALOPK_03395		Transmembrane protein	SO:0001217, UniRef:UniRef50_A0A078JZ49
contig_4	ncRNA	101912	102086	+	DALOPK_03400	sok	sok antitoxin (CssrC)	RFAM:RF01794, SO:0000655
contig_4	cds	102057	102578	+	DALOPK_03405	tnp	IS3 family ISKpn8 transposase ORF A	IS:ISKpn8, SO:0001217, UniRef:UniRef50_F5NU29
contig_4	cds	102575	103426	+	DALOPK_03410	tnp	IS3 family ISKpn8 transposase ORF B	IS:ISKpn8, SO:0001217, UniRef:UniRef50_K0PYB1
contig_4	cds	103527	103685	+	DALOPK_03415		Type I toxin-antitoxin system Hok family toxin	SO:0001217, UniRef:UniRef50_A0A7G5F650
contig_4	cds	103987	104217	-	DALOPK_03420		hypothetical protein	
contig_4	cds	104384	104656	+	DALOPK_03425		TAXi-C domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0E1CMP9
contig_4	cds	104653	105003	+	DALOPK_03430		hypothetical protein	
contig_4	cds	105018	105335	+	DALOPK_03435		DNA-binding protein	SO:0001217, UniRef:UniRef50_A0A1Q8YUK3
contig_4	cds	106175	106531	+	DALOPK_03440		Dopa decarboxylase protein remnant	SO:0001217, UniRef:UniRef50_S5N495
contig_4	cds	106592	106804	+	DALOPK_03445		hypothetical protein	
contig_4	cds	106815	107039	+	DALOPK_03450		ABC transporter substrate-binding protein	SO:0001217, UniRef:UniRef50_A0A377YU09
contig_4	cds	107120	107440	+	DALOPK_03455		Type II toxin-antitoxin system RelE/ParE family toxin	SO:0001217, UniRef:UniRef50_A0A7I6U733
contig_4	cds	107430	107708	+	DALOPK_03460		HTH cro/C1-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0C7AUS1
contig_4	cds	107709	108122	+	DALOPK_03465		Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_G9G282
contig_4	cds	108840	109220	+	DALOPK_03470		hypothetical protein	
contig_4	cds	109287	109634	+	DALOPK_03475		DUF559 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7U4T8H9
contig_4	cds	109729	109875	+	DALOPK_03480		Succinate dehydrogenase flavoprotein subunit	SO:0001217, UniRef:UniRef50_J6IMA8
contig_4	cds	109926	110759	+	DALOPK_03485		N6-Mtase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0C7AUH5
contig_4	cds	110586	110966	-	DALOPK_03490		Single-stranded DNA-binding protein	SO:0001217, UniRef:UniRef50_A0A078K4K2
contig_4	cds	111576	112397	+	DALOPK_03495		DUF945 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1E4GNX1
contig_4	cds	112397	112759	+	DALOPK_03500		FYR N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0E1CN52
contig_4	cds	112792	113277	-	DALOPK_03505		SLT domain-containing protein	SO:0001217, UniRef:UniRef50_A0A4V7SNL5
contig_4	cds	113701	114084	+	DALOPK_03510	traM	Relaxosome protein TraM	SO:0001217, UniRef:UniRef50_A0A2P9E0A8
contig_4	ncRNA	114213	114290	-	DALOPK_03515	finP	FinP	RFAM:RF00107, SO:0000655
contig_4	cds	114284	115000	+	DALOPK_03520	traJ	Conjugal transfer transcriptional regulator TraJ	SO:0001217, UniRef:UniRef50_A0A2S1FVE4
contig_4	cds	115404	115772	+	DALOPK_03525		Pilin	SO:0001217, UniRef:UniRef50_P04737
contig_4	cds	115786	116091	+	DALOPK_03530	traL	Protein TraL	SO:0001217, UniRef:UniRef50_A0A2A7U827
contig_4	cds	116111	116677	+	DALOPK_03535	traE	Protein TraE	SO:0001217, UniRef:UniRef50_P08322
contig_4	cds	116664	117404	+	DALOPK_03540	traK	TraK protein	SO:0001217, UniRef:UniRef50_A0A8H9E1S4
contig_4	cds	117404	118828	+	DALOPK_03545	traB	Conjugal transfer protein TraB	SO:0001217, UniRef:UniRef50_A0A7M1HZG2
contig_4	cds	118821	119417	+	DALOPK_03550	traP	Conjugal transfer protein TraP	SO:0001217, UniRef:UniRef50_A0A8A6WLW4
contig_4	cds	119452	120024	+	DALOPK_03555	traV	TraV protein	SO:0001217, UniRef:UniRef50_Q65AH6
contig_4	cds	120917	121135	+	DALOPK_03560		hypothetical protein	
contig_4	cds	121136	121453	+	DALOPK_03565		Group-specific protein	SO:0001217, UniRef:UniRef50_U9YTM4
